Drug Name,Drug ID,Strength,Pack Size,Price,Expiry Date,Batch Number,Manufacture Date,Country of Origin,Drug Interactions,Patient Age Group,Patient Gender,Patient Weight,Geographic Region,Sales Volume,Manufacturer,Generic Drug Name,Route of Adminstration,Storage Conditions,Prescription Required,Therapeutic Class,Dosage Form,Adverse Reactions
Cetrizine,124c7447-72cc-450d-b8c5-ac2521da4dc5,802,6,460.18,2028-10-07,65903175-9b0d-4e1b-bada-6822ffeb6df6,2019-04-12,United States,Their within cut name wall candidate detail.,Elderly,Male,75,Hyderabad,11,Sun Pharmaceutical Industries Ltd.,Cetirizine,Topical,cold,yes,Antibiotics,Capsule,Drug Interactions
Crocin,9cd37dcd-10f7-4fc4-9457-0cafa4e0e090,830,23,298.92,2024-10-15,b24e7dbe-64c3-497f-885c-f89b83df12ec,2019-04-18,Germany,Everything recent easy wonder audience.,Adult,Male,50,Pune,97,GlaxoSmithKline Pharmaceuticals Limited,Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Omez,21ae2505-27f1-454e-becb-d0b0af9ca8c7,106,30,87.48,2025-11-11,7ec230b6-4a14-47c8-9c02-1c993e5387ba,2019-05-12,India,What live left candidate hot.,Adult,Female,73,Hyderabad,79,Dr. Reddy's Laboratories Ltd.,Omeprazole,Topical,dry,no,Blood pressure medications,Liquid,Drowsiness
Cetrizine,fd3cbe4a-96fd-4fc9-bdcb-171fb640998d,718,30,218.47,2028-05-12,51ffd3b9-ac2e-4e97-b205-f37b8b085c4b,2022-02-01,India,Memory red something price page manage hand way.,Pediatric,Female,53,Jaipur,98,Sun Pharmaceutical Industries Ltd.,Cetirizine,Topical,cold,yes,Antibiotics,Capsule,Drug Interactions
Azee,84a67685-9eb8-435c-9608-cc0e149d56df,748,42,438.09,2026-07-28,17da3f8a-653e-4adc-b621-2eddafba19dc,2022-08-04,India,Manager management near her.,Adult,Male,82,Bangalore,65,Cipla Ltd.,Azithromycin,Injectable,cold,yes,Pain relievers,Liquid,Drowsiness
Crocin,115c2605-e451-4d5f-ba93-37f39ca1ec3b,515,35,402.39,2028-05-03,9624755b-5330-40ff-9364-8a7bca4765d9,2022-01-26,India,Sometimes modern hospital affect first.,Elderly,Male,100,Mumbai,64,GlaxoSmithKline Pharmaceuticals Limited,Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Omez,a0802e6f-3097-4b6d-9697-d33ce6d4043e,626,30,70.45,2027-02-20,b5252bde-c9a7-4610-8770-126e0064030c,2021-03-17,Switzerland,Movie human key story.,Elderly,Male,50,Bangalore,98,Dr. Reddy's Laboratories Ltd.,Omeprazole,Topical,dry,no,Blood pressure medications,Liquid,Drowsiness
Combiflam,f3547a4f-0ee7-4066-9524-07c992c31645,186,7,384.06,2026-01-18,b2a36ba8-ce5f-47ff-9879-05b919178eec,2023-04-01,Switzerland,Expert door hotel top rest focus.,Adult,Male,57,Chennai,42,Sanofi India Limited,Ibuprofen + Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Atorva,ad427178-4520-42a6-9f19-5022c337efb6,194,6,125.76,2028-03-08,3439536b-f8aa-4b0a-ac10-15f54b971ed8,2020-04-18,Switzerland,Pm book impact impact police own station.,Pediatric,Female,83,Pune,50,Sun Pharmaceutical Industries Ltd.,Atorvastatin,Injectable,dry,no,Antidepressants,Tablet,Organ Toxicity
Pantocid,3241ee8f-1317-4501-9605-26cce43eda57,876,12,208.74,2024-07-19,95a8028b-1cad-4b2c-b4b7-bfaef55c7c4f,2023-09-28,United States,Glass sport six pull just between measure.,Pediatric,Male,92,Delhi,13,Sun Pharmaceutical Industries Ltd.,Pantoprazole,Topical,cold,no,Antibiotics,Capsule,Drug Interactions
Azee,0a4999a9-5c80-41c4-a0d2-f1e93c1c4902,606,47,100.56,2027-03-28,44f66cc3-ad22-4002-8611-1d286a275faa,2023-09-15,Germany,Notice international probably nature technology.,Pediatric,Male,67,Ahmedabad,60,Cipla Ltd.,Azithromycin,Injectable,cold,yes,Pain relievers,Liquid,Drowsiness
Crocin,a84eafb9-ef3c-47b8-8447-1384a2117540,645,7,153.19,2027-10-07,b3eba702-5375-4934-815e-212de7577342,2021-10-09,Germany,Although effect economy newspaper.,Pediatric,Male,87,Hyderabad,65,GlaxoSmithKline Pharmaceuticals Limited,Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Amoxyclav,5ff6d77c-6e76-43a8-b7c0-2f556775ad43,650,26,149.37,2028-03-29,44096e23-b924-4308-9cd9-35e5f95d2b75,2022-07-14,Switzerland,Officer enough admit early girl.,Elderly,Male,83,Bangalore,53,GlaxoSmithKline Pharmaceuticals Limited,Amoxicillin + Clavulanic Acid,Oral,cold,yes,Blood pressure medications,Liquid,Drowsiness
Crocin,c7e505ae-22da-48f2-9439-bed487d9e2d2,153,50,463.63,2026-07-07,08b2f8ab-5c26-4c85-9e81-f206d471e3d7,2021-01-08,Germany,Loss authority language dog federal benefit base.,Pediatric,Female,50,Mumbai,100,GlaxoSmithKline Pharmaceuticals Limited,Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Crocin,d75d5294-9712-411f-abf9-42d57a814991,235,28,231.12,2024-11-06,3790934c-f2f9-4a4b-902f-c5b71baf1392,2021-12-04,India,Pressure wide specific hair else key finish.,Pediatric,Female,69,Bangalore,71,GlaxoSmithKline Pharmaceuticals Limited,Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Atorva,5d650b1e-39a3-40ee-aedc-e76a9bdeeeae,124,13,92.5,2025-06-24,4872bcb6-abd5-4bb4-9fe3-e11009a2e556,2020-02-24,India,Traditional especially someone work chair.,Elderly,Female,58,Kolkata,93,Sun Pharmaceutical Industries Ltd.,Atorvastatin,Injectable,dry,no,Antidepressants,Tablet,Organ Toxicity
Cetrizine,5ba71d04-baac-499a-ab2a-d953c810c0bf,136,26,391.42,2027-11-18,835c253f-c493-49cb-aa41-2a465954beb9,2024-02-26,India,Enough test quite today social sign.,Pediatric,Male,70,Surat,68,Sun Pharmaceutical Industries Ltd.,Cetirizine,Topical,cold,yes,Antibiotics,Capsule,Drug Interactions
Cetrizine,7c75b8ed-16cf-497c-a722-48af8cb78fdb,411,22,417.09,2028-12-09,8f846a45-d8ab-4f4a-b697-028f1c2bd89f,2023-08-29,Switzerland,Indeed card yard about product.,Pediatric,Female,65,Jaipur,2,Sun Pharmaceutical Industries Ltd.,Cetirizine,Topical,cold,yes,Antibiotics,Capsule,Drug Interactions
Ciplox,4ad3bf06-e0df-49a2-b89b-798333b0a444,1809,5,961.0,2025-07-30,e3468d8b-61fa-4a05-9827-b4682e9b65c0,2021-10-09,United States,Boy scene various pretty pattern financial.,Elderly,Male,80,Ahmedabad,2,Cipla Ltd.,Ciprofloxacin,Injectable,cold,yes,Antidepressants,Capsule,Organ Toxicity
Cetrizine,c5008a0f-38cd-4f40-b80d-4f6735d94f3c,281,21,263.76,2026-03-11,14b70a5d-4791-4087-95b7-7d010ae9f530,2020-01-10,India,Take anyone movie.,Adult,Male,63,Chennai,24,Sun Pharmaceutical Industries Ltd.,Cetirizine,Topical,cold,yes,Antibiotics,Capsule,Drug Interactions
Cetrizine,add00347-1a3a-45aa-a224-dc3f621ced22,197,22,347.37,2026-12-02,a05ceca8-ed58-4057-814c-ae77ee430c42,2020-09-02,Switzerland,Standard main field thought class continue.,Pediatric,Male,62,Kolkata,27,Sun Pharmaceutical Industries Ltd.,Cetirizine,Topical,cold,yes,Antibiotics,Capsule,Drug Interactions
Combiflam,b1ef0965-15ac-422e-934d-bfd566947002,952,39,252.4,2028-07-24,cb8696fb-e299-4766-9951-fb322273f012,2022-06-02,Germany,Improve sense air yeah whom stop production.,Pediatric,Female,92,Bangalore,4,Sanofi India Limited,Ibuprofen + Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Crocin,a6a06c6f-caa9-4cb5-ba47-1ba117cfa8b3,150,32,342.9,2025-08-25,f9d4da77-bc73-4f96-aee2-dc9754c35925,2023-04-08,United States,Determine table big prevent.,Elderly,Male,80,Pune,4,GlaxoSmithKline Pharmaceuticals Limited,Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Atorva,b20733d8-a766-40b0-9870-a18ec2d362d5,437,14,179.42,2028-06-24,f6e0df60-7c61-4d80-a873-aac5f3710d8c,2020-10-23,Switzerland,Police discuss green generation dark station little.,Pediatric,Male,80,Mumbai,76,Sun Pharmaceutical Industries Ltd.,Atorvastatin,Injectable,dry,no,Antidepressants,Tablet,Organ Toxicity
Crocin,319b773a-8776-4a02-b4aa-f29a4893d155,19,45,177.74,2026-08-29,bae5f5c9-ec9f-466a-8087-bfaa1d9437be,2023-03-24,India,Around baby paper identify name dog world.,Elderly,Male,80,Mumbai,14,GlaxoSmithKline Pharmaceuticals Limited,Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Crocin,40369cd7-cb1e-4624-81b0-f5990cc5c5f9,632,48,233.81,2026-09-11,564a738c-b830-47bd-a885-7e50b6fd2456,2022-02-16,Switzerland,Final yourself heart listen.,Elderly,Female,63,Hyderabad,43,GlaxoSmithKline Pharmaceuticals Limited,Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Ciplox,b1ddf329-f92c-4518-a48d-368156ba8994,205,31,480.76,2025-06-27,80ef738e-d71f-4d1f-bf97-f58fec7e0990,2022-05-18,India,Factor American guess we during can.,Adult,Female,56,Hyderabad,100,Cipla Ltd.,Ciprofloxacin,Injectable,cold,yes,Antidepressants,Capsule,Organ Toxicity
Cetrizine,b2083900-6a06-4d57-8f67-7922107bea08,94,8,231.18,2024-07-13,d6abccdb-7482-4498-ba33-a37b5f5730bc,2019-04-24,Germany,Add car age.,Adult,Male,61,Jaipur,54,Sun Pharmaceutical Industries Ltd.,Cetirizine,Topical,cold,yes,Antibiotics,Capsule,Drug Interactions
Combiflam,983472aa-5d9c-45e3-b6c5-c4030ebe1de6,886,18,456.37,2028-01-21,faa483b8-5f37-44f0-a679-1e19ac724232,2019-07-28,Germany,Myself risk identify art long race.,Elderly,Female,74,Hyderabad,15,Sanofi India Limited,Ibuprofen + Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Cetrizine,f52679b9-bb37-4bcf-b10b-4ed02b448912,53,30,14.18,2028-04-23,e2e9b9cc-6ada-4abd-9b72-38d12562be65,2020-06-01,India,Response station particularly interesting positive image eight same.,Adult,Female,85,Hyderabad,71,Sun Pharmaceutical Industries Ltd.,Cetirizine,Topical,cold,yes,Antibiotics,Capsule,Drug Interactions
Combiflam,b1ed2132-2462-46c0-844c-6ec797378be2,390,3,383.62,2027-01-28,4884fef8-c449-4a59-9c36-4c8af434b11d,2020-10-02,Switzerland,Star upon always student father professor.,Pediatric,Male,90,Mumbai,17,Sanofi India Limited,Ibuprofen + Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Dolo-650,0e6e7791-10f8-43ff-a261-4e73e54370a1,418,35,45.13,2025-06-16,668efc70-2065-4f60-8419-ae6a6f8b3c79,2020-05-21,Germany,Require suggest stage organization theory job.,Adult,Male,90,Delhi,77,Micro Labs Limited,Paracetamol,Oral,normal,yes,Pain relievers,Tablet,Allergic Reactions
Dolo-650,25d391bb-d014-41d9-b62b-2f4cef034bb8,538,10,71.15,2027-07-18,4229fbbd-7fd3-4f7c-b82a-5ec4ae4fb18b,2022-11-07,United States,Next between however.,Pediatric,Female,84,Ahmedabad,68,Micro Labs Limited,Paracetamol,Oral,normal,yes,Pain relievers,Tablet,Allergic Reactions
Crocin,043900ac-96eb-49a9-ba05-0bbde82bb640,314,31,453.52,2025-11-20,a4c80d0a-dc9e-4e37-a1ed-4a7d8b66634f,2022-01-21,Germany,Plant turn however probably.,Pediatric,Female,54,Surat,2,GlaxoSmithKline Pharmaceuticals Limited,Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Atorva,6324eb98-2007-4606-80cd-115cead4adab,717,10,393.53,2026-07-17,1101a249-49d8-4d89-a172-595c7e898b21,2021-08-02,India,Expect body significant staff method change wife nation.,Elderly,Male,59,Kolkata,32,Sun Pharmaceutical Industries Ltd.,Atorvastatin,Injectable,dry,no,Antidepressants,Tablet,Organ Toxicity
Omez,7d5276b3-4a87-4a3b-ae48-4f20ab19c215,649,41,290.58,2025-09-17,004dd38f-b17e-4619-b488-29c7ea5ead4c,2023-05-03,Switzerland,Soon model turn social public thought become.,Pediatric,Female,92,Kolkata,89,Dr. Reddy's Laboratories Ltd.,Omeprazole,Topical,dry,no,Blood pressure medications,Liquid,Drowsiness
Combiflam,3d9adb33-89d2-48cc-ba1a-6fec5511c752,237,14,187.18,2024-05-27,1c64dcba-c9a8-4320-89f8-9f104114fd53,2020-10-16,Germany,Method energy respond say fish level.,Elderly,Male,58,Bangalore,49,Sanofi India Limited,Ibuprofen + Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Ciplox,414b52bc-a35f-4f02-a6ca-ca9bb338e0e7,228,21,310.82,2027-09-27,0001006a-66fc-430f-a851-c361b0370ecc,2020-02-19,United States,Risk authority tough anything.,Elderly,Male,82,Hyderabad,43,Cipla Ltd.,Ciprofloxacin,Injectable,cold,yes,Antidepressants,Capsule,Organ Toxicity
Ciplox,98657b26-6d32-4f46-aa64-c3219d29c7c0,345,37,450.06,2025-09-24,f9b6def9-c22c-4315-8dfb-9125445fa26a,2019-10-23,Switzerland,Over establish operation current project against popular.,Pediatric,Male,59,Surat,61,Cipla Ltd.,Ciprofloxacin,Injectable,cold,yes,Antidepressants,Capsule,Organ Toxicity
Omez,a670e44e-4906-4c3e-abed-41ddee242ce9,437,3,439.02,2028-03-01,44670a3f-cb48-457d-a801-7375150c59e0,2021-08-24,Switzerland,Improve not situation majority common structure huge.,Adult,Male,98,Chennai,82,Dr. Reddy's Laboratories Ltd.,Omeprazole,Topical,dry,no,Blood pressure medications,Liquid,Drowsiness
Cetrizine,d5a841b0-b8d3-4908-97c3-7d629c8b8d80,491,39,27.71,2026-02-25,96436ff6-003a-4448-aacc-ebf283fc1502,2022-02-05,United States,Budget painting hair professor simply it wonder.,Pediatric,Female,54,Surat,90,Sun Pharmaceutical Industries Ltd.,Cetirizine,Topical,cold,yes,Antibiotics,Capsule,Drug Interactions
Amoxyclav,3eeacb20-c812-47af-9380-5d22b3db5186,63,50,422.71,2028-01-25,417d43ce-a649-4f2d-9590-20997bcf03f9,2020-09-02,Switzerland,Open produce wife sit.,Pediatric,Female,80,Pune,64,GlaxoSmithKline Pharmaceuticals Limited,Amoxicillin + Clavulanic Acid,Oral,cold,yes,Blood pressure medications,Liquid,Drowsiness
Cetrizine,dbcd844b-d3da-4b7d-ae86-77ed1a3922d1,523,25,63.84,2027-06-29,88b6c5a8-0258-4233-96ed-f6607a98626a,2021-09-17,Switzerland,Yet physical skin describe.,Pediatric,Male,82,Surat,34,Sun Pharmaceutical Industries Ltd.,Cetirizine,Topical,cold,yes,Antibiotics,Capsule,Drug Interactions
Omez,a1117132-9d25-44c3-9cba-4644f61d7af6,438,4,335.37,2027-09-23,4e41d84b-ad5c-4785-8280-1a0a782c69e6,2022-01-24,United States,Hospital skin all surface common data.,Adult,Female,54,Jaipur,94,Dr. Reddy's Laboratories Ltd.,Omeprazole,Topical,dry,no,Blood pressure medications,Liquid,Drowsiness
Atorva,100b0a7d-5a47-4d5f-9c26-b87c5641d96d,660,24,231.94,2024-05-22,33ef8f1b-0e7a-498f-9b58-37fb990ae7fd,2024-02-21,Switzerland,Pass heart parent.,Pediatric,Male,86,Jaipur,37,Sun Pharmaceutical Industries Ltd.,Atorvastatin,Injectable,dry,no,Antidepressants,Tablet,Organ Toxicity
Atorva,8bccfcd3-f420-4c04-ad96-46c0db9296c4,53,28,381.73,2027-06-30,f3ceae63-1cc5-48f9-be9e-304cbca74c18,2022-11-13,United States,Property especially study adult rock activity.,Adult,Male,60,Jaipur,77,Sun Pharmaceutical Industries Ltd.,Atorvastatin,Injectable,dry,no,Antidepressants,Tablet,Organ Toxicity
Combiflam,9dd4d351-3d60-4b6a-bb05-1cf703894f98,312,31,259.49,2025-02-22,4d6f3852-b6ae-47a0-9b06-819ccee5ec4f,2022-02-20,Switzerland,Particular direction agree little.,Adult,Female,65,Kolkata,16,Sanofi India Limited,Ibuprofen + Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Cetrizine,32e4e944-7fc0-4ab7-a9af-be9e38e19ad3,113,14,419.76,2025-03-31,0d9b98a6-629a-480e-b4e9-8b37c06bf182,2019-08-10,India,Network almost former trouble hotel.,Elderly,Male,90,Pune,93,Sun Pharmaceutical Industries Ltd.,Cetirizine,Topical,cold,yes,Antibiotics,Capsule,Drug Interactions
Cetrizine,a2ff18ed-a890-41bf-b4fc-78ee25990b2a,276,4,43.24,2027-10-25,9a4541f8-339b-441b-827c-2c04d38ffb15,2020-07-17,India,Issue nature three time stage fish south actually.,Adult,Male,98,Mumbai,54,Sun Pharmaceutical Industries Ltd.,Cetirizine,Topical,cold,yes,Antibiotics,Capsule,Drug Interactions
Combiflam,b169ecbc-9310-4164-bd32-05247be6dbb4,373,14,135.82,2027-01-03,f2ee3c42-c8db-4dfd-a82e-e9f9ecf91dd6,2022-08-25,United States,Everything instead painting home establish.,Adult,Female,76,Ahmedabad,1,Sanofi India Limited,Ibuprofen + Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Ciplox,47232071-19cd-4121-80d0-b8f5ed9dac78,288,2,493.1,2027-04-20,0d3f1195-7db6-4f84-b397-6dac1f871d88,2022-05-03,Switzerland,Else place himself region music just sense.,Elderly,Male,90,Jaipur,80,Cipla Ltd.,Ciprofloxacin,Injectable,cold,yes,Antidepressants,Capsule,Organ Toxicity
Ciplox,dfcdf970-2094-4994-a3d1-ff53edf660d9,966,49,54.42,2026-07-30,2a20e91a-3125-4314-91e4-40d099487368,2021-05-31,Switzerland,Role school these would blue.,Adult,Male,73,Surat,88,Cipla Ltd.,Ciprofloxacin,Injectable,cold,yes,Antidepressants,Capsule,Organ Toxicity
Dolo-650,b1f0b9ae-e770-4114-b9c1-7756ed9ee105,360,44,297.58,2024-10-06,a81c3076-a0a1-4b5e-9d03-639fb54a8397,2019-10-15,United States,Station first article.,Pediatric,Male,64,Chennai,28,Micro Labs Limited,Paracetamol,Oral,normal,yes,Pain relievers,Tablet,Allergic Reactions
Crocin,1c4ca6db-366f-48cb-973d-0512fe73a158,729,28,411.15,2026-09-26,f78ad21b-d779-4a1d-b40c-b5c0b7475710,2020-02-08,United States,Land understand rest dinner.,Pediatric,Female,66,Surat,51,GlaxoSmithKline Pharmaceuticals Limited,Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Atorva,e576213b-d087-4583-a385-23575a583fa7,429,18,283.16,2027-04-20,f2402b23-21a3-4cfe-be1f-a953174701f7,2022-06-07,India,Organization to seat full order price well.,Adult,Male,76,Ahmedabad,48,Sun Pharmaceutical Industries Ltd.,Atorvastatin,Injectable,dry,no,Antidepressants,Tablet,Organ Toxicity
Ciplox,28e1ce89-42d2-41d1-94ce-a09c13e5f4e4,253,17,345.61,2024-08-27,e700c931-b296-46f8-9be9-5e0227cce15c,2022-06-11,India,Campaign focus better us.,Pediatric,Male,53,Mumbai,79,Cipla Ltd.,Ciprofloxacin,Injectable,cold,yes,Antidepressants,Capsule,Organ Toxicity
Crocin,8d563904-f254-4bcf-b0b6-53b465b1b4e7,328,41,432.29,2026-10-25,0f3bc42d-bdd7-4f69-b5c5-d26c53113a9d,2019-05-12,India,Food medical man store force seven.,Adult,Female,98,Chennai,45,GlaxoSmithKline Pharmaceuticals Limited,Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
